cd_fcu;tem_risco;n_setores_risco
15015010005;0;0
15015010006;0;0
15015010007;0;0
15015010008;0;0
15015010011;0;0
15015010012;0;0
15015010013;0;0
15015010014;0;0
15015010015;0;0
15015010016;0;0
15015010017;0;0
15015010018;0;0
15015010019;0;0
15015010020;0;0
15015010021;0;0
15015010022;0;0
15015010023;0;0
15015010026;0;0
15015010027;0;0
15015010030;0;0
15015010031;0;0
15015010032;0;0
15015010033;0;0
15015010040;0;0
15017090001;1;1
15017090003;1;1
15017090004;0;0
15017090005;0;0
15017090006;0;0
15017090007;1;1
15017090008;0;0
15017090009;0;0
15017090010;0;0
15017090011;0;0
15017090012;0;0
15017090014;0;0
15017090015;0;0
15017820001;0;0
15017820002;0;0
15017820003;0;0
15017820004;0;0
15017820005;0;0
15017820006;0;0
15018080001;0;0
15018080002;0;0
15018080003;0;0
15018080004;0;0
15018080005;0;0
15021030001;0;0
15021030002;0;0
15021030003;0;0
15021030004;0;0
15021030005;0;0
15021030006;0;0
15021030007;0;0
15021030008;0;0
15021030009;0;0
15021030010;0;0
15021030011;0;0
15022020001;0;0
15022020002;0;0
15022020004;0;0
15022020005;0;0
15022020006;0;0
15022020008;0;0
15022020011;0;0
15022020012;0;0
15022020013;0;0
15022020015;0;0
15022020016;0;0
15022020018;0;0
15022020020;0;0
15022020021;0;0
15022020022;0;0
15024000001;0;0
15024000004;0;0
15024000008;0;0
15024000009;0;0
15024000015;0;0
15024000016;0;0
15024000017;0;0
15024000018;0;0
15024000019;0;0
15024000021;1;1
15024000022;0;0
15024000023;0;0
15024000024;0;0
15024000025;0;0
15024000026;0;0
15024000027;0;0
15024000028;1;1
15024000030;0;0
15024000033;0;0
15024000034;0;0
15024000037;0;0
15024000039;0;0
15029390001;0;0
15033090001;0;0
15033090002;0;0
15034570001;0;0
15036060001;0;0
15036060002;1;1
15036060003;0;0
15037050003;1;1
15037050005;0;0
15038040001;0;0
15038040002;1;1
15038040004;0;0
15038040005;0;0
15038040007;0;0
15038040008;1;1
15038040009;0;0
15038040010;0;0
15042080001;1;1
15042080003;1;1
15042080004;0;0
15042080006;0;0
15042080007;1;1
15042080008;1;1
15042080009;1;1
15042080010;1;1
15042080012;0;0
15042080013;0;0
15042080014;0;0
15042080015;0;0
15042080016;0;0
15042080017;1;1
15042080018;1;1
15042080019;0;0
15042080020;0;0
15042080021;0;0
15042080023;1;1
15042080024;0;0
15042080025;1;1
15044220001;0;0
15044220002;0;0
15044220003;0;0
15044220004;0;0
15044220005;0;0
15044220006;0;0
15044220007;0;0
15044220008;0;0
15044220009;0;0
15044220011;1;1
15044220013;0;0
15044220015;0;0
15044220016;0;0
15044220017;0;0
15044220019;1;1
15044220020;0;0
15044220021;0;0
15044220022;0;0
15044220023;0;0
15044220024;0;0
15044220025;0;0
15044220026;0;0
15044220027;0;0
15044220028;0;0
15044220029;0;0
15044220030;0;0
15044220032;0;0
15044220033;0;0
15044220035;0;0
15044220036;0;0
15044220037;0;0
15044220039;0;0
15044220040;0;0
15044220042;0;0
15044220043;0;0
15044220049;0;0
15044220050;0;0
15044220051;0;0
15044220052;0;0
15044220053;0;0
15044220054;0;0
15044220055;0;0
15044220056;0;0
15044220057;0;0
15044220063;0;0
15044220066;1;1
15044220067;0;0
15044220068;0;0
15045050001;0;0
15047030001;0;0
15047030002;0;0
15047030003;0;0
15048020001;1;1
15048020002;1;1
15048020003;1;1
15048020004;1;1
15048020005;0;0
15048020008;1;1
15048020009;1;1
15048020010;1;1
15048020011;0;0
15051060001;1;1
15053040001;1;1
15055020001;1;1
15055020002;0;0
15055020003;1;1
15055020004;0;0
15055020005;1;1
15055020006;1;1
15055020007;1;1
15055020008;1;1
15055020010;0;0
15055020011;1;1
15055020012;1;1
15055020013;1;1
15055020014;1;1
15055020015;0;0
15055360002;1;1
15055360003;1;1
15055360005;1;1
15055360007;1;1
15055360008;1;1
15055360009;0;0
15055360010;0;0
15055360011;1;1
15055360012;1;1
15055360013;0;0
15055360014;1;1
15055360015;0;0
15055360016;1;1
15055360017;1;1
15055360018;1;1
15055360020;0;0
15055360021;1;1
15055360022;0;0
15055360023;0;0
15055360024;0;0
15055360025;0;0
15060050001;1;1
15061380001;0;0
15061380002;0;0
15061380003;0;0
15061380004;0;0
15061380006;0;0
15061380007;0;0
15061380008;0;0
15061380009;1;1
15061380010;0;0
15061380011;0;0
15063510001;0;0
15063510002;0;0
15063510003;0;0
15063510004;0;0
15063510005;0;0
15065000001;0;0
15065000002;0;0
15065000003;0;0
15065000004;0;0
15065000005;0;0
15065000006;0;0
15065000007;0;0
15065000008;0;0
15065000009;0;0
15065000011;0;0
15065000012;0;0
15065000014;0;0
15065000016;0;0
15065000019;0;0
15065000022;0;0
15068070002;0;0
15068070003;0;0
15068070004;1;1
15068070005;0;0
15068070006;1;1
15068070007;0;0
15068070008;0;0
15068070009;0;0
15068070010;0;0
15068070011;0;0
15068070013;0;0
15068070014;1;1
15068070015;0;0
15068070016;0;0
15068070017;0;0
15068070018;1;1
15068070019;0;0
15068070020;1;1
15068070021;0;0
15068070022;1;1
15068070023;1;1
15068070024;1;1
15068070025;0;0
15068070026;1;1
15068070027;0;0
15068070030;0;0
15068070034;0;0
15068070035;0;0
15068070036;1;1
15068070037;0;0
15068070040;0;0
15068070041;1;1
15068070042;0;0
15068070043;0;0
15068070044;1;1
15068070045;0;0
15068070046;0;0
15068070047;0;0
15068070048;0;0
15070030001;0;0
15070030002;0;0
15070030003;0;0
15070030004;0;0
15073000001;0;0
15076070001;0;0
15076070002;0;0
15076070003;0;0
15076070007;0;0
15076070008;0;0
15076070009;0;0
15076070010;0;0
15076070011;1;1
15076070012;1;1
15076070013;1;1
15076070014;0;0
15080010001;0;0
15080010002;0;0
15080010003;0;0
15080010004;0;0
15080010005;0;0
15080010006;0;0
15080010007;0;0
15080010008;0;0
15080010009;0;0
15080010010;0;0
15081000001;0;0
15081000004;1;1
15081000005;0;0
15081000006;0;0
15081000007;1;1
15081000008;0;0
15081000009;0;0
15081000013;0;0
15081000015;0;0
15081000016;0;0
15081000018;0;0
15081000019;0;0
15081000020;0;0
15081000021;0;0
15081000022;0;0
15081000024;0;0
15081000026;0;0
15081000029;0;0
15081000030;1;1
15081000031;0;0
15081000033;0;0
15082090001;0;0
15082090002;1;1
15082090003;1;1
15082090005;0;0
15082090006;1;1
15083080002;1;1
15083080003;1;1
16001050001;0;0
16002120001;0;0
16002790001;1;1
16002790002;1;1
16002790003;1;1
16002790005;1;1
16002790006;1;1
16002790010;1;1
16003030001;0;0
16003030003;0;0
