cd_fcu;total_pessoas;total_dp_ocupados;total_dp_agua_rede_geral;total_dp_esgoto_rede_geral;total_dp_lixo_coleta;cont_dp_permanentes;pop_analfabeta_15m;pop_alfabetizada_15m;pop_total_15m;total_banheiros;renda_media_pond;renda_sm_pond;faces_total;faces_via_pav;faces_bueiro;faces_ilum;faces_ponto_on;faces_via_bic;faces_calcada;faces_obstac;faces_rampa;perc_agua_adequada;perc_esgoto_adequado;perc_lixo_coleta;perc_analfabeto_populacao;num_medio_banheiros_por_morador;perc_via_pavimentada;perc_bueiro;perc_iluminacao_publica;perc_ponto_onibus;perc_via_bicicleta;perc_calcada;perc_obstaculo_calcada;perc_rampa_cadeirante;i_agua_adequada;i_esgoto_adequado;i_lixo_coleta;i_banheiros;i_rendimento_medio;i_renda_ge_10_sm;i_analfabetismo;i_renda_ate_2_sm;IDS;i_via_pav;i_bueiro;i_ilum;i_pont_on;i_via_bic;i_calcad;i_obstac;i_rampa;IDA;nm_fcu;nm_mun;nm_uf;cd_mun
35548050005;125;38;3;0;38;20;9;90;99;0;1008,690000000000;0,832252475247525;7;0;0;5;0;0;0;0;0;7,894736842105263;0,000000000000000;100,000000000000000;9,090909090909092;0,00000000000000000;0,000000000000000;0,000000000000000;71,428571428571431;0,0000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,07894736842105263;0,00000000000000000;1,00000000000000000;0,00000000000000000;0,00390276143242734;0,00390276143242734;0,874692874692875;0,996097238567573;0,369692875568294;0,00000000000000000;0,00000000000000000;0,71428571428571430;0,000000000000000000;0,00000000000000000;0,00000000000000000;1,0000000000000000;0,00000000000000000;0,214285714285714;Jardim Maracaibo 2;Tremembé;São Paulo;3554805
35548050008;636;196;192;175;194;102;20;466;486;252;1975,650000000000;1,630074257425743;42;12;12;40;0;0;10;10;0;97,959183673469383;89,285714285714292;98,979591836734699;4,115226337448560;0,39622641509433965;28,571428571428569;28,571428571428569;95,238095238095227;0,0000000000000000;0,000000000000000;23,809523809523807;23,809523809523807;0,000000000000000;0,97959183673469385;0,89285714285714290;0,98979591836734704;0,16159315460617441;0,00937356381960632;0,00937356381960632;0,943276609943277;0,990626436180394;0,622061028291030;0,28571428571428570;0,28571428571428570;0,95238095238095222;0,000000000000000000;0,00000000000000000;0,23809523809523805;0,7619047619047620;0,00000000000000000;0,315476190476190;Retiro Feliz;Tremembé;São Paulo;3554805
35548050016;184;61;44;0;61;23;5;137;142;0;1549,150000000000;1,278176567656766;16;0;0;8;1;0;1;1;0;72,131147540983605;0,000000000000000;100,000000000000000;3,521126760563380;0,00000000000000000;0,000000000000000;0,000000000000000;50,000000000000000;6,2500000000000000;0,000000000000000;6,250000000000000;6,250000000000000;0,000000000000000;0,72131147540983609;0,00000000000000000;1,00000000000000000;0,00000000000000000;0,00696054030453658;0,00696054030453658;0,951465550057099;0,993039459695463;0,459967195721434;0,00000000000000000;0,00000000000000000;0,50000000000000000;0,062500000000000000;0,00000000000000000;0,06250000000000000;0,9375000000000000;0,00000000000000000;0,195312500000000;Kanegae;Tremembé;São Paulo;3554805
35554060001;1584;539;497;130;471;266;50;1163;1213;203;1518,470000000000;1,252863036303630;65;42;13;49;7;7;9;9;0;92,207792207792210;24,118738404452692;87,384044526901675;4,122011541632316;0,12815656565656566;64,615384615384613;20,000000000000000;75,384615384615387;10,7692307692307701;10,769230769230770;13,846153846153847;13,846153846153847;0,000000000000000;0,92207792207792205;0,24118738404452691;0,87384044526901672;0,05226613607527148;0,00678696102800120;0,00678696102800120;0,943183084155879;0,993213038971999;0,504917741581327;0,64615384615384608;0,20000000000000001;0,75384615384615383;0,107692307692307698;0,10769230769230770;0,13846153846153847;0,8615384615384616;0,00000000000000000;0,351923076923077;Bela Vista;Ubatuba;São Paulo;3555406
35554060002;781;269;149;6;240;139;25;557;582;361;1949,330000000000;1,608358085808581;49;0;0;15;0;0;0;0;0;55,390334572490708;2,230483271375465;89,219330855018583;4,295532646048110;0,46222791293213827;0,000000000000000;0,000000000000000;30,612244897959183;0,0000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,55390334572490707;0,02230483271375465;0,89219330855018586;0,18851056807999114;0,00922465226294364;0,00922465226294364;0,940791306770688;0,990775347737056;0,450866001762809;0,00000000000000000;0,00000000000000000;0,30612244897959184;0,000000000000000000;0,00000000000000000;0,00000000000000000;1,0000000000000000;0,00000000000000000;0,163265306122449;Angelim;Ubatuba;São Paulo;3555406
35554060003;1078;364;100;3;282;182;39;767;806;250;1490,430000000000;1,229727722772277;56;17;9;50;5;0;5;4;1;27,472527472527474;0,824175824175824;77,472527472527474;4,838709677419355;0,23191094619666047;30,357142857142854;16,071428571428573;89,285714285714292;8,9285714285714288;0,000000000000000;8,928571428571429;7,142857142857142;1,785714285714286;0,27472527472527475;0,00824175824175824;0,77472527472527475;0,09458032063485337;0,00662831816900342;0,00662831816900341;0,933304272013949;0,993371681830997;0,386525652313764;0,30357142857142855;0,16071428571428573;0,89285714285714290;0,089285714285714288;0,00000000000000000;0,08928571428571429;0,9285714285714286;0,01785714285714286;0,310267857142857;Cachoeira do Macaco;Ubatuba;São Paulo;3555406
35554060005;466;158;29;0;21;62;23;348;371;0;2039,620000000000;1,682854785478548;27;19;2;19;3;0;10;10;0;18,354430379746837;0,000000000000000;13,291139240506327;6,199460916442049;0,00000000000000000;70,370370370370367;7,407407407407407;70,370370370370367;11,1111111111111107;0,000000000000000;37,037037037037038;37,037037037037038;0,000000000000000;0,18354430379746836;0,00000000000000000;0,13291139240506328;0,00000000000000000;0,00973548905819720;0,00973548905819721;0,914547971151745;0,990264510941803;0,280092394551559;0,70370370370370372;0,07407407407407407;0,70370370370370372;0,111111111111111105;0,00000000000000000;0,37037037037037041;0,6296296296296295;0,00000000000000000;0,324074074074074;Monte Valério;Ubatuba;São Paulo;3555406
35554060006;238;87;6;4;81;20;12;196;208;144;2305,940000000000;1,902590759075908;40;14;0;34;8;0;0;0;0;6,896551724137931;4,597701149425287;93,103448275862064;5,769230769230769;0,60504201680672265;35,000000000000000;0,000000000000000;85,000000000000000;20,0000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,06896551724137931;0,04597701149425287;0,93103448275862066;0,24675449298805982;0,01124225675464122;0,01124225675464122;0,920478170478170;0,988757743245359;0,403056491464391;0,34999999999999998;0,00000000000000000;0,84999999999999998;0,200000000000000011;0,00000000000000000;0,00000000000000000;1,0000000000000000;0,00000000000000000;0,300000000000000;Morro do Lázaro;Ubatuba;São Paulo;3555406
35554060007;670;225;218;0;220;100;27;502;529;296;2102,546666666667;1,734774477447745;26;9;1;26;0;1;14;14;0;96,888888888888886;0,000000000000000;97,777777777777771;5,103969754253308;0,44179104477611941;34,615384615384613;3,846153846153846;100,000000000000000;0,0000000000000000;3,846153846153846;53,846153846153847;53,846153846153847;0,000000000000000;0,96888888888888891;0,00000000000000000;0,97777777777777775;0,18017579313871102;0,01009151139440265;0,01009151139440265;0,929647984468400;0,989908488605597;0,508322744458523;0,34615384615384615;0,03846153846153846;1,00000000000000000;0,000000000000000000;0,03846153846153846;0,53846153846153844;0,4615384615384616;0,00000000000000000;0,302884615384615;Núcleo Botafogo;Ubatuba;São Paulo;3555406
35554060008;440;151;107;0;126;72;20;314;334;0;1902,290000000000;1,569546204620462;28;4;0;24;0;0;3;3;0;70,860927152317871;0,000000000000000;83,443708609271525;5,988023952095809;0,00000000000000000;14,285714285714285;0,000000000000000;85,714285714285708;0,0000000000000000;0,000000000000000;10,714285714285714;10,714285714285714;0,000000000000000;0,70860927152317865;0,00000000000000000;0,83443708609271527;0,00000000000000000;0,00895851245954649;0,00895851245954649;0,917462372552193;0,991041487540454;0,433683405328454;0,14285714285714285;0,00000000000000000;0,85714285714285710;0,000000000000000000;0,00000000000000000;0,10714285714285714;0,8928571428571429;0,00000000000000000;0,250000000000000;Pedreira;Ubatuba;São Paulo;3555406
