cd_fcu;CMAET60;CMAST60;CMATT60;CMACT60;year;nm_fcu;cd_mun;nm_mun
12004010010;NA;NA;NA;NA;NA;Canaã;1200401;Rio Branco
12004010011;NA;NA;NA;NA;NA;Aeroporto Velho;1200401;Rio Branco
12004010013;NA;NA;NA;NA;NA;Baixada da Habitasa;1200401;Rio Branco
12004010015;NA;NA;NA;NA;NA;Adalberto Aragão;1200401;Rio Branco
12004010016;NA;NA;NA;NA;NA;Alto Alegre;1200401;Rio Branco
12004010017;NA;NA;NA;NA;NA;Areal;1200401;Rio Branco
12004010018;NA;NA;NA;NA;NA;Belo Jardim;1200401;Rio Branco
12004010020;NA;NA;NA;NA;NA;Caladinho;1200401;Rio Branco
12004010021;NA;NA;NA;NA;NA;Casa Nova;1200401;Rio Branco
12004010022;NA;NA;NA;NA;NA;Comara;1200401;Rio Branco
12004010023;NA;NA;NA;NA;NA;Hélio Melo;1200401;Rio Branco
12004010024;NA;NA;NA;NA;NA;Jardim Primavera;1200401;Rio Branco
12004010025;NA;NA;NA;NA;NA;João Eduardo II;1200401;Rio Branco
12004010026;NA;NA;NA;NA;NA;Laélia Alcântara;1200401;Rio Branco
12004010027;NA;NA;NA;NA;NA;Morada do Sol;1200401;Rio Branco
12004010028;NA;NA;NA;NA;NA;Nova Esperança;1200401;Rio Branco
12004010029;NA;NA;NA;NA;NA;Palheiral;1200401;Rio Branco
12004010030;NA;NA;NA;NA;NA;Geraldo Fleming;1200401;Rio Branco
12004010031;NA;NA;NA;NA;NA;Bairro da Paz I;1200401;Rio Branco
12004010032;NA;NA;NA;NA;NA;São Francisco I;1200401;Rio Branco
12004010033;NA;NA;NA;NA;NA;São Sebastião;1200401;Rio Branco
12004010034;NA;NA;NA;NA;NA;Sobral;1200401;Rio Branco
12004010036;NA;NA;NA;NA;NA;Vitória;1200401;Rio Branco
12004010037;NA;NA;NA;NA;NA;Invasão do Amapá;1200401;Rio Branco
12004010038;NA;NA;NA;NA;NA;Invasão do Sabiá;1200401;Rio Branco
12004010039;NA;NA;NA;NA;NA;Recanto dos Buritis;1200401;Rio Branco
12004010041;NA;NA;NA;NA;NA;Ouricuri;1200401;Rio Branco
12004010043;NA;NA;NA;NA;NA;Placas;1200401;Rio Branco
12004010045;NA;NA;NA;NA;NA;São Francisco II;1200401;Rio Branco
12004010046;NA;NA;NA;NA;NA;Joafra;1200401;Rio Branco
12004010047;NA;NA;NA;NA;NA;Bairro da Paz II;1200401;Rio Branco
12004010048;NA;NA;NA;NA;NA;LBA Vila Betel;1200401;Rio Branco
12004010049;NA;NA;NA;NA;NA;Bahia;1200401;Rio Branco
12004010050;NA;NA;NA;NA;NA;Boa União;1200401;Rio Branco
12004010051;NA;NA;NA;NA;NA;Glória;1200401;Rio Branco
12004010052;NA;NA;NA;NA;NA;Base;1200401;Rio Branco
12004010053;NA;NA;NA;NA;NA;Quinze;1200401;Rio Branco
12004010054;NA;NA;NA;NA;NA;Santa Inês;1200401;Rio Branco
12004010055;NA;NA;NA;NA;NA;Vista Linda;1200401;Rio Branco
13000600001;NA;NA;NA;NA;NA;Favelinha;1300060;Amaturá
